tbl,id,country,state_province,county,latitude,longitude
vfoi,62113511,Brazil,Minas Gerais,Santa Maria Do Salto,9999,9999
vfoi,62115816,Brazil,Mato Grosso,NA,9999,9999
vfoi,62116696,Brazil,Mato Grosso,NA,9999,9999
vfoi,62116907,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,62117716,Brazil,Mato Grosso,NA,9999,9999
vfoi,62120028,Brazil,Mato Grosso,NA,9999,9999
vfoi,62124304,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,62128226,Brazil,Mato Grosso,NA,9999,9999
vfoi,62137422,Brazil,Mato Grosso,NA,9999,9999
vfoi,62143365,Brazil,Mato Grosso,NA,9999,9999
vfoi,62150656,Canada,British Columbia,NA,531.25,-127.25
vfoi,62150755,Brazil,Mato Grosso,NA,9999,9999
vfoi,62158360,Brazil,Mato Grosso,NA,9999,9999
vfoi,62159229,Brazil,Mato Grosso,NA,9999,9999
vfoi,62162138,Brazil,Mato Grosso,NA,9999,9999
vfoi,62168616,Brazil,Mato Grosso,NA,9999,9999
vfoi,62169128,Brazil,Mato Grosso,NA,9999,9999
vfoi,62169541,Brazil,Mato Grosso,NA,9999,9999
vfoi,62169850,Brazil,Mato Grosso,NA,9999,9999
vfoi,62170989,Brazil,Mato Grosso,NA,9999,9999
vfoi,62179552,Brazil,Mato Grosso,NA,9999,9999
vfoi,62184561,Brazil,Mato Grosso,NA,9999,9999
vfoi,62187197,Brazil,Mato Grosso,NA,9999,9999
vfoi,62189153,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,62190116,Brazil,Mato Grosso,NA,9999,9999
vfoi,62191422,Brazil,Mato Grosso,NA,9999,9999
vfoi,62192227,Brazil,Mato Grosso,NA,9999,9999
vfoi,62207225,Brazil,Mato Grosso,NA,9999,9999
vfoi,62210494,Brazil,Mato Grosso,NA,9999,9999
vfoi,62214754,Brazil,Mato Grosso,NA,9999,9999
vfoi,62220775,Brazil,Federal,Brasilia,9999,9999
vfoi,62224806,Brazil,Mato Grosso,NA,9999,9999
vfoi,62225392,Brazil,Mato Grosso,NA,9999,9999
vfoi,62226877,Brazil,Mato Grosso,NA,9999,9999
vfoi,62236596,Brazil,Mato Grosso,NA,9999,9999
vfoi,62242395,Brazil,Mato Grosso,NA,9999,9999
vfoi,62244715,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62249272,Brazil,Mato Grosso,NA,9999,9999
vfoi,62253414,Brazil,Mato Grosso,NA,9999,9999
vfoi,62253879,Brazil,Goias,NA,9999,9999
vfoi,62256248,Brazil,Mato Grosso,NA,9999,9999
vfoi,62257315,Brazil,Mato Grosso,NA,9999,9999
vfoi,62258171,Brazil,Mato Grosso,NA,9999,9999
vfoi,62258843,Brazil,Mato Grosso,NA,9999,9999
vfoi,62262695,Brazil,Mato Grosso,NA,9999,9999
vfoi,62263703,Brazil,Mato Grosso,NA,9999,9999
vfoi,62269950,Brazil,Espirito Santo,NA,9999,9999
vfoi,62281307,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62283180,Brazil,Rondonia,Porto Velho,-850.268611,-6356.40139
vfoi,62283668,Brazil,Mato Grosso,NA,9999,9999
vfoi,62290573,Brazil,Espirito Santo,Nova Venecia,9999,9999
vfoi,62290919,Brazil,Mato Grosso,NA,9999,9999
vfoi,62295577,Brazil,Espirito Santo,Ibitirama,-20.396944,-4144.08333
vfoi,62300938,Brazil,Espirito Santo,Cariacica,9999,9999
vfoi,62306946,Brazil,Mato Grosso,NA,9999,9999
vfoi,62309779,Brazil,Mato Grosso,NA,9999,9999
vfoi,62310187,Brazil,Mato Grosso,NA,9999,9999
vfoi,62310332,Brazil,Mato Grosso,NA,9999,9999
vfoi,62311602,Brazil,Mato Grosso,NA,9999,9999
vfoi,62316626,Brazil,Mato Grosso,NA,9999,9999
vfoi,62322579,Brazil,Minas Gerais,NA,9999,9999
vfoi,62325730,Brazil,Mato Grosso,NA,9999,9999
vfoi,62327966,Brazil,Sao Paulo,Pedregulho,9999,9999
vfoi,62328016,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62328986,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62338588,Brazil,Mato Grosso,NA,9999,9999
vfoi,62340239,Brazil,Minas Gerais,Santa Maria Do Salto,9999,9999
vfoi,62342695,Brazil,Espirito Santo,Sao Roque Do Canaa,9999,9999
vfoi,62343281,Brazil,Mato Grosso,NA,9999,9999
vfoi,62343457,Brazil,Mato Grosso,NA,9999,9999
vfoi,62344685,Brazil,Mato Grosso,NA,9999,9999
vfoi,62346360,Brazil,Mato Grosso,NA,9999,9999
vfoi,62348222,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62350401,Brazil,Mato Grosso,NA,9999,9999
vfoi,62352925,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62356601,Brazil,Mato Grosso,NA,9999,9999
vfoi,62360119,Brazil,Mato Grosso,NA,9999,9999
vfoi,62362176,Brazil,Mato Grosso,NA,9999,9999
vfoi,62364283,Brazil,Bahia,NA,9999,9999
vfoi,62364504,Brazil,Mato Grosso,NA,9999,9999
vfoi,62364997,Brazil,Mato Grosso,NA,9999,9999
vfoi,62365125,Brazil,Mato Grosso,NA,9999,9999
vfoi,62374142,Brazil,Mato Grosso,NA,9999,9999
vfoi,62377676,Brazil,Goias,Minacu,9999,9999
vfoi,62378572,Brazil,Mato Grosso,NA,9999,9999
vfoi,62380988,Brazil,Rio Grande do Norte,Serra Negra Do Norte,-634,-3705
vfoi,62381090,Brazil,Mato Grosso,NA,9999,9999
vfoi,62381697,Brazil,Mato Grosso,NA,9999,9999
vfoi,62384547,Brazil,Mato Grosso,NA,9999,9999
vfoi,62392364,Brazil,Espirito Santo,Santa Leopoldina,9999,9999
vfoi,62392530,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62393209,Brazil,Mato Grosso,NA,9999,9999
vfoi,62394738,Brazil,Mato Grosso,NA,9999,9999
vfoi,62400454,Brazil,Mato Grosso,NA,9999,9999
vfoi,62400669,Brazil,Rondonia,Porto Velho,-850.268611,-6356.40139
vfoi,62403387,Brazil,Sao Paulo,Cunha,-249579000,172.744
vfoi,62404089,Brazil,Mato Grosso,NA,9999,9999
vfoi,62404707,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62406500,Brazil,Mato Grosso,NA,9999,9999
vfoi,62411698,Brazil,Mato Grosso,NA,9999,9999
vfoi,62414318,Brazil,Mato Grosso,NA,9999,9999
vfoi,62416434,Brazil,Mato Grosso,NA,9999,9999
vfoi,62422223,Brazil,Mato Grosso,NA,9999,9999
vfoi,62424147,Brazil,Mato Grosso,NA,9999,9999
vfoi,62430344,Brazil,Mato Grosso,NA,9999,9999
vfoi,62431387,Brazil,Mato Grosso,NA,9999,9999
vfoi,62435550,Brazil,Mato Grosso,NA,9999,9999
vfoi,62437137,Brazil,Mato Grosso,NA,9999,9999
vfoi,62437979,Brazil,Mato Grosso,NA,9999,9999
vfoi,62437995,Brazil,Mato Grosso,NA,9999,9999
vfoi,62438436,Brazil,Mato Grosso,NA,9999,9999
vfoi,62439622,Brazil,Mato Grosso,NA,9999,9999
vfoi,62440710,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62441039,Brazil,Mato Grosso,NA,9999,9999
vfoi,62444958,Brazil,Mato Grosso,NA,9999,9999
vfoi,62447670,Brazil,Mato Grosso,NA,9999,9999
vfoi,62447849,Brazil,Mato Grosso,NA,9999,9999
vfoi,62449441,Brazil,Mato Grosso,NA,9999,9999
vfoi,62457726,Brazil,Mato Grosso,NA,9999,9999
vfoi,62460281,Brazil,Mato Grosso,NA,9999,9999
